iter	Logloss
217	0.1067570894
218	0.106712365
219	0.1066741717
220	0.1066360095
221	0.1065995157
222	0.1065676608
223	0.1065138883
224	0.1064353553
225	0.1063975568
226	0.1063186
227	0.1062807421
228	0.1062348722
229	0.1062025227
230	0.106147166
231	0.1060853154
232	0.1060289013
233	0.1058930359
234	0.1058386442
235	0.1057723674
236	0.1057253811
237	0.1056931098
238	0.1056565308
239	0.1056305284
240	0.1055927579
241	0.1055334085
242	0.1054683007
243	0.1054133305
244	0.1053708512
245	0.1053131942
246	0.1052624009
247	0.1052317275
248	0.1051746769
249	0.105151046
250	0.1051020618
251	0.1050651844
252	0.1049965421
253	0.1049135411
254	0.1048568768
255	0.1048189449
256	0.1047838677
257	0.1047348599
258	0.1047040191
259	0.104660039
260	0.1046148389
261	0.1045584354
262	0.10447813
263	0.1044334409
264	0.1043807098
265	0.1043294381
266	0.1042876618
267	0.104263
268	0.1042331199
269	0.1042036807
270	0.1041534555
271	0.1041165566
272	0.1040891214
273	0.104049749
274	0.1039827043
275	0.1039457955
276	0.1039152273
277	0.1038659448
278	0.1038284564
279	0.1037825237
280	0.1037594025
281	0.1036964541
282	0.1036599543
283	0.1036387252
284	0.103611288
285	0.103577572
286	0.1035058626
287	0.1034717367
288	0.1034121566
289	0.1033713524
290	0.1033200567
291	0.1032999377
292	0.1032763253
293	0.103257899
294	0.1032258985
295	0.1031867509
296	0.1031474475
297	0.1031062669
298	0.1030695748
299	0.1030000806
300	0.1029550547
301	0.1029270916
302	0.1029077759
303	0.1028688356
304	0.1028285491
305	0.1027790792
306	0.1027370359
307	0.1027063603
308	0.1026801755
309	0.1026559488
310	0.1026211424
311	0.1025647472
312	0.102544365
313	0.1024485329
314	0.1024336433
315	0.1024102468
316	0.1023481853
317	0.1023047149
318	0.1022562837
319	0.1022346677
320	0.102209941
321	0.102180265
322	0.1021320936
323	0.1020885527
324	0.102057767
325	0.1020384904
326	0.1019878943
327	0.1019676635
328	0.1019479356
329	0.101924518
330	0.1018948612
331	0.1018754277
332	0.1018399293
333	0.1017735092
334	0.1017473569
335	0.1017062119
336	0.1016851091
337	0.1016550866
338	0.1016427942
339	0.1016072546
340	0.1015807758
341	0.1015695609
342	0.1015279215
343	0.1014855968
344	0.1014601673
345	0.1014310319
346	0.1013903959
347	0.101357651
348	0.1013374813
349	0.1012905466
350	0.1012717302
351	0.101240707
352	0.1012056141
353	0.1011535704
354	0.1011317045
355	0.1011184136
356	0.1011026287
357	0.1010546634
358	0.1010236293
359	0.1010005821
360	0.1009759366
361	0.1009447357
362	0.1009181844
363	0.1008980242
364	0.1008566988
365	0.1008289892
366	0.1007981028
367	0.1007740904
368	0.1007430642
369	0.100725499
370	0.1006958316
371	0.1006771647
372	0.1006511806
373	0.1006292466
374	0.1005822387
375	0.100558156
376	0.1005424597
377	0.1005160086
378	0.100463727
379	0.1004417478
380	0.1004210063
381	0.1004024998
382	0.1003698288
383	0.1003260415
384	0.1002868997
385	0.100219059
386	0.1001894356
387	0.10016314
388	0.1001461033
389	0.1001177226
390	0.1000916071
391	0.1000580434
392	0.1000212146
393	0.09999859616
394	0.09997019122
395	0.09995282208
396	0.0999346163
397	0.09990842359
398	0.09988514504
399	0.09984640785
400	0.09982176514
401	0.09978849411
402	0.09976370764
403	0.0997429721
404	0.09971392486
405	0.0996879258
406	0.09963603955
407	0.09960297498
408	0.09957041632
409	0.09955524401
410	0.09953826131
411	0.09951899055
412	0.09949377171
413	0.09947136986
414	0.09944906829
415	0.09940228291
416	0.09937304334
417	0.09935456024
418	0.09932474331
419	0.09930937736
420	0.09928232814
421	0.09925999461
422	0.09922712671
423	0.09921181673
424	0.09918697874
425	0.09916180281
426	0.09914107072
427	0.09912292274
428	0.09905135693
429	0.09903592314
430	0.09901097576
431	0.09899224359
432	0.09897942245
433	0.0989039096
434	0.09887194679
435	0.09884736069
436	0.09881624646
437	0.0987955677
438	0.09877546056
439	0.09876139505
440	0.09871736992
441	0.0987010826
442	0.0986829505
443	0.09866593642
444	0.09862782708
445	0.09856041078
446	0.09853685192
447	0.09852740998
448	0.09851329835
449	0.09848303283
450	0.09846795002
451	0.0984216661
452	0.09839278936
453	0.09837803374
454	0.09834775986
455	0.09832871527
456	0.09829920778
457	0.09828418838
458	0.09825783615
459	0.09821264944
460	0.09818414714
461	0.09817011579
462	0.09814208603
463	0.09812328104
464	0.09809769724
465	0.09807979849
466	0.09803127188
467	0.09799755072
468	0.097962009
469	0.09793309441
470	0.09790865684
471	0.09789095227
472	0.09786364477
473	0.09782902029
474	0.09780675945
475	0.09779406033
476	0.09777415925
477	0.09775422787
478	0.09771715945
479	0.09771019501
480	0.09767268586
481	0.09764261982
482	0.09762366556
483	0.09754659273
484	0.09750995491
485	0.09748336628
486	0.09744899234
487	0.09743094382
488	0.09735119305
489	0.09732258669
490	0.09728828124
491	0.09726496779
492	0.09724450289
493	0.09722038812
494	0.0971970228
495	0.09717959497
496	0.09715953359
497	0.09712942373
498	0.09709614928
499	0.09707618736
