iter	Logloss
0	0.6037086034
1	0.5269713793
2	0.4634644526
3	0.4108272451
4	0.3693645671
5	0.3368576199
6	0.3096667532
7	0.2873812879
8	0.2671551218
9	0.250416809
10	0.2352704515
11	0.2245861943
12	0.2154250078
13	0.2072199573
14	0.2009779604
15	0.1957435018
16	0.1902018096
17	0.1860130443
18	0.1818402857
19	0.1788001837
20	0.1761016279
21	0.1737674754
22	0.1714079543
23	0.1682360951
24	0.1648379679
25	0.1618678929
26	0.1587930137
27	0.1568318853
28	0.1547443664
29	0.1529244183
30	0.1510498274
31	0.1496427422
32	0.1478130046
33	0.1463752541
34	0.1449669416
35	0.1439039624
36	0.142651474
37	0.141617962
38	0.1405379485
39	0.1396864637
40	0.1387082455
41	0.137788225
42	0.1370360699
43	0.1362942625
44	0.1356292039
45	0.1344461549
46	0.1330995931
47	0.1320376066
48	0.131667209
49	0.130952504
50	0.1301452798
51	0.129516529
52	0.128903351
53	0.1282468475
54	0.1277287108
55	0.1271832336
56	0.1270136929
57	0.1266136345
58	0.1260948852
59	0.1255594437
60	0.124887888
61	0.1245712569
62	0.124119908
63	0.1239582072
64	0.1237515068
65	0.1233368889
66	0.1229105513
67	0.1227588525
68	0.1224945038
69	0.1221088112
70	0.1217626578
71	0.1215096748
72	0.1212701204
73	0.1210072926
74	0.1209164523
75	0.120759176
76	0.12064993
77	0.120454484
78	0.120249541
79	0.1200955266
80	0.1198752737
81	0.1195316162
82	0.1194061147
83	0.1192899382
84	0.1190049914
85	0.1187909958
86	0.1186314767
87	0.118448482
88	0.1182442607
89	0.1180771644
90	0.1179761298
91	0.1178259728
92	0.1177402722
93	0.1175145746
94	0.1173380296
95	0.1172447899
96	0.1171343458
97	0.1169729437
98	0.1168601235
99	0.1167103795
100	0.1166081575
101	0.1165298481
102	0.1163955508
103	0.1162927707
104	0.1161943669
105	0.1161076541
106	0.1160397567
107	0.1158082458
108	0.1156788527
109	0.115615703
110	0.1155084453
111	0.1154395441
112	0.1153581675
113	0.1151544153
114	0.1150238777
115	0.1149608079
116	0.1147240946
117	0.11465251
118	0.1144774108
119	0.1143669066
120	0.1142932395
121	0.1142147683
122	0.1141340927
123	0.1140364574
124	0.1139801246
125	0.1139038714
126	0.1138275592
127	0.1137544418
128	0.1136770657
129	0.1135653297
130	0.1134959628
131	0.1134469387
132	0.1134009364
133	0.1133301683
134	0.1132622112
135	0.1129915855
136	0.1129140995
137	0.1128393003
138	0.1127729798
139	0.1126955119
140	0.1126242636
141	0.1125549794
142	0.1124914169
143	0.1124222521
144	0.1123423496
145	0.1121192749
146	0.11205235
147	0.1119011684
148	0.1118262694
149	0.1117670976
150	0.1116302042
151	0.111447723
152	0.1113847593
153	0.111267823
154	0.11121744
155	0.1111012199
156	0.1110409209
157	0.1109902508
158	0.1109337429
159	0.1108422034
160	0.1107060227
161	0.1106161933
162	0.1105326055
163	0.1104450393
164	0.1103916823
165	0.1102371443
166	0.1101731491
167	0.110089918
168	0.1100483127
169	0.1099898436
170	0.1099318744
171	0.1098255404
172	0.1096928312
173	0.1096037758
174	0.1095622792
175	0.109514639
176	0.1093652806
177	0.1092283842
178	0.1091761523
179	0.1091101557
180	0.1090536516
181	0.1090160482
182	0.1089719666
183	0.1088914894
184	0.1088125927
185	0.1087303125
186	0.1086897531
187	0.1086455357
188	0.1085857145
189	0.1085408601
190	0.1084820397
191	0.108437252
192	0.1083600136
193	0.1083025542
194	0.1082179089
195	0.1081605602
196	0.1081195776
197	0.1080573166
198	0.1080194065
199	0.1079708287
200	0.1079091876
201	0.1078547491
202	0.1077141948
203	0.1076702681
204	0.1076116106
205	0.1075520894
206	0.1074493969
207	0.1074204285
208	0.1073505816
209	0.1073091459
210	0.1072151827
211	0.1071544401
212	0.1070477012
213	0.1070070996
214	0.1069147396
215	0.1068807665
216	0.1068217201
